Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Dango Ouattara,bf BFA,"FW,DF",Bournemouth,22-325,2002,16,7,814,9.0,3,3,6,3,0,0,0,0,3.9,3.9,3.8,7.7,35,18,94,0.33,0.33,0.66,0.33,0.66,0.44,0.42,0.85,0.44,0.85
Cole Palmer,eng ENG,MF,Chelsea,22-240,2002,19,19,1657,18.4,12,6,18,9,3,3,3,0,10.9,8.5,6.8,15.3,63,114,98,0.65,0.33,0.98,0.49,0.81,0.59,0.37,0.96,0.46,0.83
Emerson Palmieri,it ITA,DF,West Ham,30-151,1994,18,17,1352,15.0,1,1,2,1,0,0,5,0,1.2,1.2,1.2,2.3,25,42,55,0.07,0.07,0.13,0.07,0.13,0.08,0.08,0.15,0.08,0.15
Lucas Paquetá,br BRA,MF,West Ham,27-127,1997,18,15,1284,14.3,3,0,3,1,2,2,5,0,3.5,2.0,1.7,3.7,11,72,45,0.21,0.00,0.21,0.07,0.07,0.25,0.12,0.37,0.14,0.26
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-202,1993,17,14,1313,14.6,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.6,8,88,13,0.14,0.14,0.27,0.14,0.27,0.08,0.09,0.18,0.08,0.18
Nathan Patterson,sct SCO,DF,Everton,23-077,2001,3,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.73,0.00,0.73
Andreas Pereira,br BRA,MF,Fulham,29-000,1996,17,15,1150,12.8,2,1,3,2,0,1,5,0,2.9,2.1,2.2,4.3,12,65,46,0.16,0.08,0.23,0.16,0.23,0.22,0.18,0.40,0.16,0.34
Ricardo Pereira,pt POR,DF,Leicester City,31-087,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kalvin Phillips,eng ENG,MF,Ipswich Town,29-030,1995,10,8,670,7.4,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,34,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22-328,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20
Jordan Pickford,eng ENG,GK,Everton,30-300,1994,18,18,1620,18.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ethan Pinnock,jm JAM,DF,Brentford,31-217,1993,16,16,1440,16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13
Daniel Podence,pt POR,"MF,FW",Wolves,29-072,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Alfie Pond,eng ENG,DF,Wolves,20-306,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nick Pope,eng ENG,GK,Newcastle Utd,32-257,1992,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pedro Porro,es ESP,DF,Tottenham,25-110,1999,19,16,1538,17.1,2,3,5,2,0,0,2,0,1.2,1.2,1.8,3.0,42,92,57,0.12,0.18,0.29,0.12,0.29,0.07,0.11,0.18,0.07,0.18
Jarell Quansah,eng ENG,DF,Liverpool,21-338,2003,5,2,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-080,2001,1,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aaron Ramsdale,eng ENG,GK,Southampton,26-232,1998,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-218,2001,11,7,647,7.2,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,28,30,54,0.00,0.28,0.28,0.00,0.28,0.10,0.18,0.27,0.10,0.27
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-062,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35
David Raya,es ESP,GK,Arsenal,29-108,1995,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harrison Reed,eng ENG,MF,Fulham,29-340,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13
Sergio Reguilón,es ESP,DF,Tottenham,28-016,1996,1,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Bobby Reid,jm JAM,"FW,MF",Leicester City,31-334,1993,13,2,281,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,6,9,16,0.32,0.00,0.32,0.32,0.32,0.23,0.04,0.27,0.23,0.27
Chadi Riad,ma MAR,DF,Crystal Palace,21-198,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Declan Rice,eng ENG,MF,Arsenal,25-353,1999,16,15,1282,14.2,1,3,4,1,0,0,5,1,1.2,1.2,3.7,4.9,41,96,41,0.07,0.21,0.28,0.07,0.28,0.09,0.26,0.34,0.09,0.34
Chris Richards,us USA,DF,Crystal Palace,24-279,2000,8,6,535,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Richarlison,br BRA,FW,Tottenham,27-236,1997,5,0,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,4,5,12,0.00,1.00,1.00,0.00,1.00,0.19,0.76,0.95,0.19,0.95
